x,y,mean,stddev
544.5946058,432.8900143,-0.411169966,0.206193236
587.3520687,385.7209136,-0.323444658,0.1634462
605.4664709,300.6790917,-0.236087385,0.063194169
521.0086422,289.1276866,-0.294558485,0.156553174
457.7492805,314.6400463,-0.417213735,0.222719986
442.161835,376.2489425,-0.452211717,0.210795897
478.2239218,429.3552197,-0.457563362,0.183979033
513.6582977,365.4348437,-0.394831423,0.221232056
542.7118388,463.474774,-0.422898131,0.103574846
607.9010261,360.3044137,-0.317814066,0.115971168
550.5781063,232.7939971,-0.233922342,0.11491939
427.9010415,207.230835,-0.319371675,0.114411672
290.7931562,259.2067107,-0.349353409,0.070789975
317.1143696,409.9297589,-0.434411805,0.087840475
415.7362634,495.0350814,-0.473507405,0.096564335
453.9397917,353.6776338,-0.397221866,0.084793447
259.6433093,225.1115641,-0.33317994,0.07238865
181.6190711,135.8588698,-0.222027295,0.09971946
544.696378,449.4056345,-0.406316294,0.244203074
565.6661356,444.2131229,-0.375442057,0.246028791
574.8217403,424.5338085,-0.33557872,0.237900813
565.1017586,404.9326035,-0.332981411,0.221154691
543.913559,400.3907823,-0.352777857,0.220919655
527.2927256,414.5798317,-0.394667365,0.225499492
527.319408,435.9465281,-0.422264464,0.219626106
549.6627016,425.0899387,-0.371408306,0.228607428
547.6693725,433.4706236,-0.386071245,0.239145993
352.6873778,1623.597427,-0.286235716,0.356078657
333.959775,1629.546635,-0.252758368,0.296511039
326.6442878,1622.915629,-0.24982132,0.25031455
328.4621846,1613.50329,-0.269459408,0.27932327
314.9053581,1635.777899,-0.172665372,0.188030589
318.8763407,1616.557841,-0.307960682,0.331538916
323.1908426,1597.059006,-0.352943984,0.304790556
335.5811763,1538.52697,-0.330418469,0.276554788
344.476693,1646.644801,-0.183459953,0.209449478
541.5054149,463.6358998,-0.376149896,0.180554342
450.5257228,149.5319201,-0.27799346,0.15497931
480.0128233,1003.960097,-0.717029111,0.164042817
250.8892749,488.87329,-0.482884051,0.16946978
346.8852085,668.0634804,-0.570773797,0.151506326
360.3708046,430.1094408,-0.464106854,0.153194329
405.1490411,1295.102934,-0.679761859,0.279544176
60.5891737,377.2305633,-0.326269612,0.210152056
49.93263599,404.3957499,-0.342494165,0.22691427
46.480977,413.8102697,-0.332123233,0.212308377
44.76352051,418.2537631,-0.34172695,0.21111497
39.94617698,416.8155732,-0.327374089,0.209626908
29.92611367,415.0719903,-0.30963825,0.204979077
15.3819487,411.9024032,-0.305160281,0.205527615
-13.93254888,405.9407428,-0.243562674,0.185484656
35.24607134,403.8960691,-0.310490793,0.211367867
36.16755739,385.9144528,-0.310998851,0.212191822
266.1613674,229.6658718,-0.357675546,0.160027353
267.1665067,224.4460464,-0.350830638,0.15571163
269.1768097,214.7838102,-0.346435279,0.149389113
273.9510304,185.7971449,-0.32548355,0.171951763
281.6987145,142.013924,-0.271000526,0.186796593
261.6373422,228.6665019,-0.341231029,0.154306597
251.4247876,226.6633517,-0.350011838,0.156190705
221.7422336,221.0835854,-0.35701948,0.172327815
179.5749415,136.5452674,-0.251366159,0.208762199
212.112143,81.88653078,-0.177032864,0.213834689
516.7422052,849.1088354,-0.688032079,0.207609101
492.1083356,831.8874786,-0.65331777,0.177866695
467.4494541,814.7737669,-0.643939302,0.175201579
455.1410038,806.2307607,-0.641843082,0.175081088
464.5743686,794.6688984,-0.637584669,0.176084797
483.4410019,771.4507362,-0.608209991,0.19212514
445.3473206,817.5338646,-0.654367817,0.165952698
425.7179739,840.2000066,-0.661224386,0.158092842
400.3664118,870.3795683,-0.677618972,0.147894272
357.1297434,454.9735555,-0.486795279,0.154071021
358.059468,450.1924073,-0.477213305,0.150030261
360.0948425,440.4457431,-0.475741728,0.143737587
366.1003868,410.9891858,-0.45642719,0.147205872
375.2133604,367.2768899,-0.428575881,0.147252994
352.2285404,453.6744007,-0.485535578,0.155976077
342.4261801,451.9367908,-0.488429283,0.155329718
312.9102031,446.4873299,-0.482803921,0.157953824
353.6274408,448.978746,-0.481424035,0.152733163
514.387676,728.0499945,-0.569875944,0.158618389
518.2898841,698.6434501,-0.587370236,0.165587287
522.4935815,667.8908423,-0.600614411,0.166451305
527.1999574,637.4213953,-0.582947014,0.172404202
535.2157017,607.2482293,-0.527262306,0.167844707
541.0779609,573.9555586,-0.468437972,0.136143874
558.5277368,548.9481338,-0.448291855,0.134719155
566.6101922,517.6687734,-0.431331189,0.13032411
573.9714416,478.479817,-0.433430168,0.161800393
349.3462416,1495.465376,-0.673323953,0.184326871
360.4799976,1450.619163,-0.693738339,0.19729178
370.9516641,1405.726319,-0.718349998,0.176704977
381.3896701,1360.546926,-0.73781669,0.196027436
390.2524402,1318.11187,-0.775811636,0.158594218
398.6289157,1271.818633,-0.760143495,0.181829574
407.5585161,1229.52126,-0.77110067,0.166912314
416.2197178,1184.227513,-0.769421934,0.130482186
426.4557729,1134.59902,-0.773141175,0.141605963
255.1923373,395.964266,-0.466467237,0.135169811
256.5722453,326.3844496,-0.442140292,0.137964707
164.089309,342.4429683,-0.447044772,0.168486506
189.8661141,267.5106187,-0.349086499,0.156193985
386.2249959,582.6402664,-0.52221228,0.121373369
322.583765,755.9602187,-0.650538164,0.14234626
311.7406843,1503.886475,-0.610886579,0.292534832
306.0858946,1532.115718,-0.529049362,0.310057252
301.4362808,1553.223805,-0.4958067,0.368212639
295.2199194,1579.49731,-0.386677849,0.334652124
281.8152126,1636.121318,-0.258880837,0.395033884
418.6805222,993.7464384,-0.746085189,0.164065576
327.4317219,872.918698,-0.747367483,0.228171086
230.2369718,741.206175,-0.612888787,0.201154113
137.2351748,627.3727899,-0.543540036,0.222616937
